Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento
Alexandra Calhoun,728.547.0245x46,"874,340",95.58 kg,169.39 cm,Marshall Islands,A-,28/12/1961 04:51:21
Carrie Rose,001-338-662-301,,77.80 kg,187.82 cm,France,B-,06/02/1993 21:53:04
Jeffrey Warren,(911)371-4232,"370,659",78.33 kg,156.17 cm,Taiwan,B-,24/04/2000 21:03:45
Trevor Bridges,001-403-533-392,"934,265",71.77 kg,178.06 cm,Poland,O-,15/12/1976 07:37:55
Thomas Allen,728-610-5152x62,"911,452",60.79 kg,178.49 cm,Antarctica (the territory South of 60 deg S),O+,21/11/1990 11:37:45
Michael Gregory,(528)773-1844x7,"232,368",,198.12 cm,Serbia,AB+,03/09/1999 10:36:26
Eddie Stevens,282.785.5920x13,"878,433",82.46 kg,195.42 cm,Estonia,AB-,05/09/1997 18:53:06
Kathryn Daniels,+1-866-855-6253,"601,824",71.50 kg,192.45 cm,Cote d'Ivoire,AB+,27/01/1980 14:05:54
David Kirk,(225)270-8047,"711,093",62.20 kg,157.63 cm,United Arab Emirates,AB-,29/04/1969 19:06:13
James Bates,(866)658-2029x5,"82,117",91.84 kg,191.26 cm,Australia,O+,02/07/1997 17:32:17
Randy Long,7855900390,"47,149",,188.45 cm,Kiribati,O-,
Joanna Chapman,+1-466-985-2050,"800,880",92.00 kg,172.40 cm,Kiribati,AB-,24/10/2003 12:29:38
Jennifer Key,,,94.26 kg,,British Indian Ocean Territory (Chagos Archipelago),A-,26/03/1964 13:36:40
Michael Torres,+1-238-844-4018,"332,532",56.97 kg,163.45 cm,,A-,20/11/1996 09:13:12
Richard Taylor,(247)493-3445,"15,179",87.46 kg,193.55 cm,Lithuania,O+,28/04/1993 08:42:00
Michael Payne,885-922-0337,"296,394",79.58 kg,185.54 cm,Saint Helena,O-,05/10/1986 21:19:37
Jennifer Pineda,(600)250-5522x7,"476,547",94.53 kg,159.58 cm,,B-,13/06/1957 03:51:07
Ms. Laura Martin,336-435-6949x94,"160,956",94.06 kg,167.07 cm,Suriname,O+,03/11/2005 03:04:04
Anthony Chavez,704.214.9664,,53.81 kg,171.38 cm,Spain,B-,27/05/1956 08:50:38
Johnny Ballard,246.837.6040x39,"620,592",59.31 kg,173.50 cm,Tunisia,B+,27/11/1955 19:51:00
Mr. Robert Fisher,+1-882-510-8575,"585,727",67.04 kg,166.43 cm,North Macedonia,B+,01/10/1959 22:02:25
Sherry Smith,(325)991-5215x2,"900,183",,153.36 cm,Svalbard & Jan Mayen Islands,AB+,07/12/1997 05:29:48
,494-595-0667x85,"148,476",96.19 kg,154.11 cm,French Guiana,B-,08/01/1998 05:03:47
,(963)737-1525x1,"637,538",,165.88 cm,Bosnia and Herzegovina,B+,
Jennifer Torres,(460)692-6061,"339,344",87.62 kg,185.32 cm,Thailand,AB+,10/02/1993 14:32:21
Gerald Bradshaw,+1-857-405-5183,"269,388",57.49 kg,,Gambia,AB+,28/09/1979 15:20:40
Stephanie Gentry,314-596-0025x91,"290,714",56.15 kg,161.34 cm,French Guiana,AB-,28/03/1965 07:58:25
Matthew Stewart,874-208-0590x88,"324,742",,167.52 cm,Gambia,B+,02/03/1985 02:39:08
Luis Hayes,+1-949-986-8819,"289,132",81.84 kg,195.66 cm,Fiji,A+,23/01/1955 00:43:08
Billy Powell,865.941.4824,"755,144",67.87 kg,161.50 cm,Puerto Rico,AB+,10/02/1991 04:29:06
Hannah Mason,001-953-945-221,"17,969",87.00 kg,178.65 cm,Thailand,B+,24/08/1956 18:16:47
Tyler Becker,677-357-2453,"226,900",88.28 kg,194.42 cm,Sudan,B-,07/09/1975 10:16:16
Austin Fowler,221-273-2701x30,"98,502",64.11 kg,183.20 cm,Palestinian Territory,AB+,27/07/1978 09:16:05
Diane Rhodes,608.684.5661,"80,991",80.88 kg,158.40 cm,Saint Kitts and Nevis,B+,12/04/2001 16:31:34
Amy Gonzalez,(905)707-9058x7,"667,232",,153.43 cm,Cocos (Keeling) Islands,B+,
Kristina Hill,001-984-256-856,,67.18 kg,165.30 cm,Eritrea,A-,24/05/1992 15:44:01
Kimberly Taylor,475.700.7195x20,"811,700",82.68 kg,187.45 cm,,O+,11/09/1958 01:32:34
David Bowers,(295)879-1872x4,"669,830",57.71 kg,195.62 cm,Jamaica,O+,03/09/1990 02:40:10
Dr. Doris Jordan,001-900-982-510,"579,136",84.11 kg,192.56 cm,Togo,B-,26/08/1960 21:18:27
Paul Schmidt,892.819.2132,"754,062",64.05 kg,168.30 cm,Finland,,24/11/1984 12:38:33
David Jones,+1-213-709-3281,"80,112",,179.96 cm,Serbia,O-,17/07/1994 21:39:25
Allison Salas,+1-326-938-8360,"130,171",60.71 kg,186.74 cm,Saint Barthelemy,O+,01/11/1978 21:55:20
Timothy Taylor,9537934948,"882,950",86.05 kg,164.06 cm,Heard Island and McDonald Islands,O+,06/10/1974 14:50:58
Carolyn Stewart,(690)222-1188x4,"43,869",76.08 kg,186.23 cm,Luxembourg,O+,25/12/1995 08:37:37
Steven Bernard,,"856,242",74.86 kg,179.10 cm,Saint Helena,O+,28/11/1954 05:47:34
Mr. Richard Johnson,599.600.8020,"573,856",60.70 kg,173.62 cm,Ghana,B-,17/07/1958 02:41:15
Marcus Butler,001-224-617-851,"801,671",91.56 kg,196.00 cm,Ukraine,,30/11/2001 19:17:52
Mr. Chad Martin,,"423,751",98.28 kg,189.90 cm,New Zealand,A-,24/11/1975 01:34:31
Natasha Allen,(489)388-1008x0,"117,910",89.77 kg,158.46 cm,Turks and Caicos Islands,B-,15/10/1980 04:03:26
,,"235,160",82.26 kg,180.24 cm,,O-,14/05/1955 13:31:29
Katrina Gonzalez,949.210.8902x53,"37,133",58.14 kg,174.01 cm,,B-,02/01/1999 12:49:11
Tracy Holland,898-469-1347x07,"381,832",50.03 kg,155.07 cm,South Africa,O-,15/09/1977 22:19:00
Kyle Pugh PhD,(282)861-7892x0,"744,462",65.52 kg,178.11 cm,British Indian Ocean Territory (Chagos Archipelago),A+,18/01/1964 22:21:17
Monica Mcguire,649.271.5393x35,"608,490",85.88 kg,180.58 cm,Panama,O-,15/09/1975 23:18:42
Jason Davis,(486)411-2818x4,"857,527",91.68 kg,160.03 cm,Puerto Rico,AB+,31/08/1987 17:55:07
Michelle Jarvis,(863)529-5415x9,"914,084",77.32 kg,162.19 cm,Lebanon,O+,
James White,290.335.1806,"311,409",91.96 kg,150.69 cm,New Zealand,B-,01/11/1958 12:33:35
Jonathan Pena,+1-695-970-1693,"739,777",85.60 kg,174.47 cm,Netherlands Antilles,A-,11/03/1982 03:20:25
Joseph Davis,,,69.83 kg,153.27 cm,Bahrain,AB-,18/04/1988 20:25:14
Erica Craig,603-893-4695,"787,115",,187.77 cm,,B+,24/05/1969 23:24:49
Sierra Klein,+1-380-784-2327,"649,077",73.56 kg,,Vietnam,O-,12/04/1971 15:03:21
Melanie Frank,001-346-339-091,"740,443",96.58 kg,179.95 cm,Netherlands Antilles,AB-,
John Ryan,001-794-322-608,"883,922",55.22 kg,183.33 cm,Djibouti,B-,11/09/1994 18:19:53
Emily Gonzalez,655-681-2241x67,"897,194",90.42 kg,154.00 cm,Lesotho,B+,05/04/1963 17:11:45
Phillip Perez,654-210-3999,"709,455",52.77 kg,192.76 cm,Guatemala,B-,21/04/1960 20:27:30
Cynthia Goodman,(668)220-4757x7,"100,647",55.31 kg,176.73 cm,Tunisia,A-,23/05/1964 12:18:47
Richard Morgan,+1-972-573-1796,"943,866",58.96 kg,190.75 cm,Gabon,B-,22/06/1960 15:12:45
Steve Smith,903.216.7925x50,"448,666",51.02 kg,153.67 cm,Nigeria,O+,04/05/1988 18:08:10
Colin Lewis,676.259.1718,"828,060",73.92 kg,174.58 cm,Grenada,B+,25/01/1969 11:31:37
Robert Vasquez,870-499-0615x28,,78.91 kg,,Mali,AB+,01/01/1975 15:00:51
Nicole Hayes,+1-235-284-5822,"391,451",51.20 kg,170.77 cm,Syrian Arab Republic,O+,25/03/1958 10:22:33
Samantha Long,(393)819-5385,"210,021",83.89 kg,199.86 cm,Saint Lucia,AB+,25/01/1977 06:12:09
,001-836-775-165,"33,586",52.14 kg,194.00 cm,Italy,O-,06/02/1986 16:12:28
Bobby Schroeder,(784)758-0166,"610,337",96.19 kg,159.12 cm,Samoa,A+,12/08/1973 00:29:01
Matthew Harris,+1-381-253-5334,"415,756",64.02 kg,166.99 cm,Guyana,AB-,18/11/1961 13:57:26
Lisa May,(297)658-2426,"332,528",71.36 kg,199.36 cm,United Arab Emirates,O-,29/04/1997 08:51:36
Dennis Gordon,001-562-675-442,"654,170",84.43 kg,,Pitcairn Islands,B-,26/11/1979 03:56:46
,(670)602-3653,"425,862",98.01 kg,162.74 cm,Spain,AB-,04/02/1955 08:48:33
Antonio Blanchard,959.729.7911x07,"471,909",90.98 kg,157.43 cm,Romania,B+,13/10/1983 07:54:21
Shawn Medina,869.364.8813x00,"759,668",87.05 kg,162.15 cm,Morocco,AB-,18/11/1962 20:20:36
