,Name,Age,Height,Weight,Fuente,Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento
86,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
87,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
88,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
89,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
90,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
91,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
92,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
93,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
94,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
95,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
96,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
97,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
98,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
99,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
100,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
101,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
102,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
103,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
104,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
105,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
106,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
107,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
108,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
109,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
110,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
111,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
112,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
113,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
114,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
115,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
116,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
117,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
118,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
119,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
120,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
121,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
122,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
123,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
124,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
125,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
126,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
127,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
128,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
129,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
130,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
131,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
132,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
133,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
134,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
135,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
136,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
137,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
138,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
139,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
140,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
141,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
142,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
143,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
144,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
145,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
146,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
147,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
148,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
149,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
150,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
151,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
152,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
153,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
154,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
155,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
156,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
157,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
158,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
159,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
160,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
161,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
162,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
163,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
164,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
165,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
166,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
167,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
168,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
169,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
170,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
171,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
172,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
173,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
174,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
175,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
176,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
177,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
178,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
179,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
180,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
181,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
182,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
183,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
184,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
185,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
186,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
187,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
188,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
189,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
190,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
191,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
192,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
193,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
194,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
195,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
196,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
197,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
198,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
199,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
200,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
201,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
202,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
203,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
204,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
205,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
206,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
207,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
208,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
209,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
210,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
211,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
212,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
213,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
214,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
215,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
216,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
217,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
218,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
219,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
220,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
221,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
222,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
223,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
224,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
225,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
226,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
227,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
228,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
229,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
230,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
231,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
232,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
233,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
234,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
235,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
236,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
237,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
238,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
239,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
240,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
241,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
242,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
243,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
244,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
245,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
246,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
247,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
248,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
249,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
250,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
251,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
252,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
253,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
254,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
255,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
256,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
257,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
258,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
259,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
260,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
261,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
262,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
263,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
264,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
265,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
266,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
267,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
268,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
269,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
270,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
271,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
272,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
273,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
274,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
275,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
276,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
277,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
278,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
279,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
280,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
281,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
282,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
283,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
284,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
285,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
286,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
287,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
0,,,,,dataset.csv,Linda Garza,+29 (768)624-2270,992.830,217.77 lbs,5.68 ft,Holy See (Vatican City State),A+,1986-03-21
1,,,,,dataset.csv,Shawn Walton,7222428589,"431,926",60.67 kg,177.90 cm,Latvia,B+,12/02/1970 21:02:48
2,,,,,dataset.csv,Briana Le,318.938.8422x37,"909,293",88.51 kg,156.65 cm,Iceland,AB-,
3,,,,,dataset.csv,Dr. Joseph Davidson Jr.,(809)206-1483,"589,451",83.42 kg,171.96 cm,Cape Verde,O+,01/11/1987 09:26:58
4,,,,,dataset.csv,Maria Murphy,(420)689-5028x5,"347,991",73.92 kg,169.94 cm,,AB-,06/12/1967 16:23:32
5,,,,,dataset.csv,Dorothy Stafford,283.335.1727x86,,98.42 kg,154.58 cm,Romania,AB+,20/12/1980 16:17:33
6,,,,,dataset.csv,Daniel Webster,287.631.8491x68,"152,430",87.95 kg,185.72 cm,Benin,O-,26/04/1973 05:03:06
7,,,,,dataset.csv,Casey Williams,500.413.1558x66,"616,038",57.77 kg,171.90 cm,Ethiopia,O+,07/05/1988 21:06:42
8,,,,,dataset.csv,Lucas Serrano,980-379-6597x02,"56,543",62.33 kg,173.91 cm,Guinea,O-,20/02/1985 11:27:44
9,,,,,dataset.csv,Megan Andrews DDS,4276839925,"744,225",80.19 kg,151.58 cm,Greece,O-,06/06/1955 12:26:10
10,,,,,dataset.csv,Crystal Smith,,"851,255",50.54 kg,183.67 cm,Jersey,AB-,14/08/1981 12:43:25
11,,,,,dataset.csv,Elizabeth Thomas,+1-964-480-9866,"21,432",79.11 kg,191.15 cm,Botswana,B+,04/11/1957 02:06:56
12,,,,,dataset.csv,Oscar Craig,934.719.6151,"522,906",73.84 kg,172.77 cm,Malaysia,AB-,26/08/1973 08:08:37
13,,,,,dataset.csv,,(259)273-7334x1,"692,787",55.04 kg,162.18 cm,South Georgia and the South Sandwich Islands,A-,24/05/1966 14:18:19
14,,,,,dataset.csv,Ronald Meza,346.245.3042x37,"685,702",92.61 kg,173.47 cm,Indonesia,O+,03/03/1978 03:12:13
15,,,,,dataset.csv,John Zuniga,001-868-697-884,"169,000",96.41 kg,162.04 cm,Pitcairn Islands,O+,02/09/1956 12:10:19
16,,,,,dataset.csv,Miranda Woods,793-876-6087x40,"164,279",80.77 kg,173.19 cm,South Africa,A-,29/03/1964 11:17:19
17,,,,,dataset.csv,Daniel Ward,2735696610,"133,999",97.67 kg,197.62 cm,New Caledonia,A-,23/04/1965 20:02:38
18,,,,,dataset.csv,Jerry Collins,001-917-797-290,"978,638",81.48 kg,151.16 cm,New Zealand,B+,30/12/1995 00:20:38
19,,,,,dataset.csv,Brian Hall,001-241-245-252,"517,492",87.75 kg,194.44 cm,Ecuador,O-,
20,,,,,dataset.csv,Jessica Lozano,+1-315-414-0965,"800,286",82.49 kg,199.63 cm,Antarctica (the territory South of 60 deg S),O+,11/05/1960 17:46:57
21,,,,,dataset.csv,Ronald Hicks,936.728.8064,"334,599",70.58 kg,164.63 cm,Falkland Islands (Malvinas),AB+,13/03/1987 17:45:33
22,,,,,dataset.csv,Richard Ramos,(254)808-1707x7,"879,845",62.04 kg,178.39 cm,Guinea-Bissau,AB-,29/05/1975 19:08:01
23,,,,,dataset.csv,Tracie Jones,+1-707-871-4212,"421,027",57.82 kg,165.87 cm,New Caledonia,O+,25/10/1991 20:42:54
24,,,,,dataset.csv,Troy Jackson,001-328-914-689,"349,497",72.01 kg,150.66 cm,Antarctica (the territory South of 60 deg S),AB+,04/08/1985 00:56:54
25,,,,,dataset.csv,Ashley Clark,(429)340-3535,"671,602",62.67 kg,189.12 cm,Czech Republic,A-,14/02/1974 11:14:06
26,,,,,dataset.csv,Dawn Miller,740.986.9041,"476,357",93.96 kg,182.71 cm,Angola,B+,22/07/1962 16:11:14
27,,,,,dataset.csv,Ryan Cruz,976.437.2236,"527,805",95.46 kg,174.58 cm,Mali,O-,07/01/1955 14:09:26
28,,,,,dataset.csv,Kevin Perez,850-629-6044,"829,213",54.11 kg,196.23 cm,United Arab Emirates,B-,07/08/1997 16:01:01
29,,,,,dataset.csv,Roy Anderson,743.998.6843,"384,811",61.94 kg,163.84 cm,Macao,A-,29/08/1982 01:17:42
30,,,,,dataset.csv,Steven Hurst,251-610-5284,"90,359",79.66 kg,150.22 cm,Colombia,B-,22/10/1964 22:39:52
31,,,,,dataset.csv,Crystal Smith,351.786.4058x87,"853,575",62.65 kg,151.35 cm,Hungary,B-,12/03/1992 10:23:17
32,,,,,dataset.csv,Shawn Harris,(565)852-7192x6,"420,922",61.14 kg,189.91 cm,Malaysia,AB+,16/10/2003 20:07:14
33,,,,,dataset.csv,,+1-360-350-7731,"934,424",76.40 kg,,Chile,B-,06/06/1985 23:11:34
34,,,,,dataset.csv,Deanna Blevins,(359)295-4610x5,"370,408",98.99 kg,169.53 cm,Germany,O-,04/11/1969 17:23:37
35,,,,,dataset.csv,David Williams,(931)634-8656x3,"129,773",93.22 kg,173.71 cm,British Indian Ocean Territory (Chagos Archipelago),AB-,31/08/1968 20:36:35
36,,,,,dataset.csv,Xavier Blair,(397)866-8954x7,"998,667",82.86 kg,170.03 cm,Solomon Islands,B+,04/04/1967 09:41:57
37,,,,,dataset.csv,Anne Hoover,376-518-1597,"710,188",57.20 kg,164.56 cm,Sweden,A-,24/02/2002 03:31:50
38,,,,,dataset.csv,Jesus Nolan,+1-436-759-8740,"835,555",85.00 kg,195.63 cm,Cape Verde,AB+,13/05/1963 09:55:22
39,,,,,dataset.csv,Tiffany Vega,(985)295-9182,"460,732",88.38 kg,181.07 cm,Bosnia and Herzegovina,AB+,03/01/1999 20:15:40
40,,,,,dataset.csv,Tina Washington,8354176537,"502,625",98.71 kg,187.91 cm,Congo,B-,12/02/1961 12:16:23
41,,,,,dataset.csv,Matthew Mccoy,(672)281-1122x6,"81,768",82.54 kg,199.68 cm,,A+,25/08/1967 07:40:44
42,,,,,dataset.csv,Jeffery Crawford,8386665903,"283,045",82.68 kg,157.33 cm,United States Virgin Islands,O+,07/09/1999 03:18:08
43,,,,,dataset.csv,Stephanie Bender,,"517,588",72.28 kg,187.36 cm,Turkey,,28/12/1998 06:56:41
44,,,,,dataset.csv,Carlos Rodriguez,(738)319-9453x4,"164,288",74.38 kg,,Saint Vincent and the Grenadines,AB-,24/03/1992 13:59:50
45,,,,,dataset.csv,Keith Collins,472-353-2717x29,"766,263",95.57 kg,151.06 cm,Bahamas,AB-,04/02/2004 07:16:08
46,,,,,dataset.csv,Becky Barker,654-686-1488,"883,670",84.84 kg,174.23 cm,Burkina Faso,B-,12/08/2003 13:08:22
47,,,,,dataset.csv,Lisa Edwards,(628)578-5469x5,"341,790",76.44 kg,188.96 cm,Uruguay,AB-,11/07/1976 07:30:55
48,,,,,dataset.csv,Katherine Mullen,9443396289,"19,455",97.47 kg,152.74 cm,Croatia,B+,15/06/1972 12:42:08
49,,,,,dataset.csv,Anthony Rivera,,"447,774",67.34 kg,185.34 cm,Suriname,AB+,17/01/1995 20:24:47
50,,,,,dataset.csv,Mary Hernandez,(428)775-7617,"961,215",74.12 kg,156.09 cm,,B+,17/07/1969 00:48:35
51,,,,,dataset.csv,Douglas Blackburn,+1-548-279-6477,"186,574",54.17 kg,154.21 cm,Saint Pierre and Miquelon,O-,01/10/1989 19:23:35
52,,,,,dataset.csv,Christopher Scott,365-674-9074x06,"700,168",,180.73 cm,,O+,11/12/1954 20:21:47
